Epoch: [0][0/68]	Time 24.506 (24.506)	Data 24.311 (24.311)	Loss 1.1536 (1.1536)	MAE 0.829 (0.829)
Epoch: [0][1/68]	Time 8.584 (16.545)	Data 8.543 (16.427)	Loss 1.6652 (1.4094)	MAE 1.092 (0.961)
Epoch: [0][2/68]	Time 0.032 (11.041)	Data 0.001 (10.952)	Loss 5.5274 (2.7821)	MAE 2.275 (1.399)
Epoch: [0][3/68]	Time 0.046 (8.292)	Data 0.001 (8.214)	Loss 13.1620 (5.3770)	MAE 3.732 (1.982)
Epoch: [0][4/68]	Time 0.041 (6.642)	Data 0.001 (6.571)	Loss 2.8452 (4.8707)	MAE 1.499 (1.886)
Epoch: [0][5/68]	Time 1.308 (5.753)	Data 1.275 (5.689)	Loss 3.7707 (4.6874)	MAE 1.789 (1.870)
Epoch: [0][6/68]	Time 0.043 (4.937)	Data 0.001 (4.876)	Loss 1.7837 (4.2725)	MAE 1.123 (1.763)
Epoch: [0][7/68]	Time 0.044 (4.326)	Data 0.001 (4.267)	Loss 0.8005 (3.8385)	MAE 0.718 (1.632)
Epoch: [0][8/68]	Time 0.043 (3.850)	Data 0.001 (3.793)	Loss 1.0434 (3.5280)	MAE 0.838 (1.544)
Epoch: [0][9/68]	Time 0.040 (3.469)	Data 0.001 (3.413)	Loss 1.0390 (3.2791)	MAE 0.838 (1.473)
Epoch: [0][10/68]	Time 14.096 (4.435)	Data 14.062 (4.381)	Loss 1.2410 (3.0938)	MAE 0.923 (1.423)
Epoch: [0][11/68]	Time 4.462 (4.437)	Data 4.427 (4.385)	Loss 1.1617 (2.9328)	MAE 0.876 (1.378)
Epoch: [0][12/68]	Time 0.043 (4.099)	Data 0.001 (4.048)	Loss 1.6067 (2.8308)	MAE 1.077 (1.355)
Epoch: [0][13/68]	Time 0.042 (3.809)	Data 0.001 (3.759)	Loss 0.9922 (2.6994)	MAE 0.841 (1.318)
Epoch: [0][14/68]	Time 1.036 (3.625)	Data 1.000 (3.575)	Loss 0.9571 (2.5833)	MAE 0.812 (1.284)
Epoch: [0][15/68]	Time 1.600 (3.498)	Data 1.565 (3.449)	Loss 1.2207 (2.4981)	MAE 0.917 (1.261)
Epoch: [0][16/68]	Time 0.045 (3.295)	Data 0.001 (3.247)	Loss 0.8287 (2.3999)	MAE 0.738 (1.231)
Epoch: [0][17/68]	Time 0.045 (3.114)	Data 0.001 (3.066)	Loss 1.0529 (2.3251)	MAE 0.873 (1.211)
Epoch: [0][18/68]	Time 0.041 (2.953)	Data 0.001 (2.905)	Loss 1.2405 (2.2680)	MAE 0.904 (1.195)
Epoch: [0][19/68]	Time 0.045 (2.807)	Data 0.001 (2.760)	Loss 1.0494 (2.2071)	MAE 0.826 (1.176)
Epoch: [0][20/68]	Time 17.075 (3.487)	Data 17.033 (3.439)	Loss 0.7390 (2.1372)	MAE 0.723 (1.155)
Epoch: [0][21/68]	Time 3.806 (3.501)	Data 3.769 (3.454)	Loss 0.9926 (2.0851)	MAE 0.785 (1.138)
Epoch: [0][22/68]	Time 0.045 (3.351)	Data 0.001 (3.304)	Loss 1.0051 (2.0382)	MAE 0.809 (1.123)
Epoch: [0][23/68]	Time 0.042 (3.213)	Data 0.001 (3.167)	Loss 0.8780 (1.9898)	MAE 0.776 (1.109)
Epoch: [0][24/68]	Time 0.041 (3.086)	Data 0.001 (3.040)	Loss 1.0927 (1.9540)	MAE 0.835 (1.098)
Epoch: [0][25/68]	Time 0.040 (2.969)	Data 0.001 (2.923)	Loss 0.9819 (1.9166)	MAE 0.790 (1.086)
Epoch: [0][26/68]	Time 0.040 (2.861)	Data 0.001 (2.815)	Loss 1.3603 (1.8960)	MAE 0.913 (1.080)
Epoch: [0][27/68]	Time 0.042 (2.760)	Data 0.001 (2.714)	Loss 0.9092 (1.8607)	MAE 0.771 (1.069)
Epoch: [0][28/68]	Time 0.044 (2.666)	Data 0.001 (2.621)	Loss 0.9338 (1.8288)	MAE 0.761 (1.058)
