Epoch,Train Loss,Validation Loss,Train MAE,Validation MAE
0,1.1762,0.5656,0.831,0.609
1,0.477,0.4698,0.551,0.569
2,0.4365,0.4375,0.532,0.533
3,0.3995,0.3998,0.505,0.524
4,0.369,0.3325,0.483,0.474
5,0.3511,0.494,0.472,0.605
6,0.328,0.5319,0.452,0.633
7,0.3232,0.3207,0.45,0.445
8,0.3085,0.387,0.44,0.504
9,0.3119,0.3458,0.441,0.465
10,0.2761,0.2971,0.414,0.448
11,0.269,0.2415,0.407,0.394
12,0.2635,0.2939,0.403,0.436
13,0.2631,0.3417,0.406,0.461
14,0.2735,0.323,0.412,0.444
15,0.2466,0.2483,0.39,0.398
16,0.2316,0.2621,0.377,0.406
17,0.2235,0.3587,0.368,0.478
18,0.2233,0.2615,0.369,0.423
19,0.2309,0.3109,0.376,0.443
20,0.2226,0.2697,0.367,0.421
21,0.2045,0.2793,0.351,0.419
22,0.2129,0.2146,0.36,0.366
23,0.2036,0.2503,0.352,0.388
24,0.1964,0.2642,0.344,0.407
25,0.1876,0.4735,0.337,0.561
26,0.2014,0.2825,0.35,0.412
27,0.2015,1.0039,0.352,0.851
28,0.189,0.2221,0.34,0.375
29,0.1854,0.3717,0.336,0.521
30,0.1819,0.291,0.332,0.452
31,0.1789,0.2289,0.331,0.384
32,0.1681,0.2367,0.32,0.386
33,0.17,0.4026,0.322,0.552
34,0.1719,0.3032,0.325,0.464
35,0.1716,0.2133,0.325,0.367
36,0.175,0.2377,0.33,0.388
37,0.1621,0.3232,0.315,0.476
38,0.1543,0.2051,0.308,0.351
39,0.1522,0.4342,0.307,0.546
40,0.1504,0.21,0.306,0.358
41,0.1552,0.3076,0.313,0.435
42,0.1436,0.2194,0.301,0.375
43,0.1396,0.2914,0.295,0.433
44,0.1524,0.2537,0.313,0.404
45,0.1353,0.2721,0.29,0.401
46,0.1347,0.2176,0.291,0.358
47,0.1311,0.267,0.287,0.414
48,0.1283,0.2075,0.284,0.347
49,0.1274,0.3912,0.286,0.511
50,0.1361,0.2162,0.296,0.37
51,0.1246,0.2469,0.282,0.39
52,0.1152,0.213,0.273,0.352
53,0.1187,0.2916,0.276,0.425
54,0.1204,0.2137,0.278,0.353
55,0.114,0.2118,0.272,0.357
56,0.1113,0.2635,0.269,0.399
57,0.1013,0.2439,0.255,0.388
58,0.104,0.256,0.258,0.403
59,0.1109,0.2594,0.266,0.39
60,0.1061,0.2926,0.265,0.422
61,0.1103,0.8659,0.266,0.774
62,0.1082,0.2447,0.264,0.375
63,0.1027,0.242,0.259,0.38
64,0.1019,0.2426,0.258,0.371
65,0.0984,0.3589,0.253,0.508
66,0.108,0.2553,0.265,0.392
67,0.0978,0.2272,0.253,0.37
68,0.0989,0.2584,0.255,0.387
69,0.096,0.2143,0.251,0.349
70,0.0949,0.2481,0.25,0.397
71,0.0982,0.2865,0.253,0.426
72,0.0929,0.2201,0.246,0.373
73,0.0841,0.2266,0.234,0.368
74,0.0827,0.2921,0.232,0.433
75,0.0782,0.2714,0.225,0.421
76,0.0867,0.2865,0.24,0.417
77,0.0928,0.2109,0.248,0.356
78,0.0911,0.2257,0.245,0.365
79,0.0808,0.2472,0.231,0.392
80,0.0834,0.2111,0.233,0.353
81,0.0789,0.2072,0.229,0.338
82,0.0764,0.2142,0.224,0.358
83,0.074,0.2093,0.222,0.357
84,0.074,0.3073,0.223,0.447
85,0.0718,0.3297,0.217,0.468
86,0.0699,0.2042,0.215,0.346
87,0.0713,0.2003,0.217,0.342
88,0.0696,0.2157,0.216,0.351
89,0.0661,0.1851,0.211,0.324
90,0.0633,0.2029,0.204,0.342
91,0.065,0.1899,0.206,0.332
92,0.0686,0.2487,0.211,0.394
93,0.0639,0.2109,0.205,0.353
94,0.0682,0.2731,0.213,0.416
95,0.0706,0.261,0.215,0.396
96,0.066,0.2115,0.209,0.352
97,0.0641,0.2148,0.208,0.36
98,0.0787,0.3423,0.23,0.481
99,0.0656,0.1779,0.208,0.32
100,0.0606,0.2874,0.199,0.411
101,0.066,0.1984,0.209,0.338
102,0.0649,0.1998,0.207,0.338
103,0.0576,0.1892,0.196,0.335
104,0.0596,0.2066,0.2,0.353
105,0.0579,0.2038,0.197,0.354
106,0.0542,0.2038,0.19,0.343
107,0.0601,0.2027,0.199,0.346
108,0.0651,0.2156,0.208,0.355
109,0.0571,0.2037,0.196,0.343
110,0.06,0.1762,0.2,0.329
111,0.055,0.2067,0.192,0.359
112,0.0543,0.2313,0.19,0.368
113,0.0537,0.2038,0.19,0.344
114,0.0542,0.1837,0.191,0.324
115,0.0506,0.211,0.184,0.355
116,0.0504,0.1989,0.183,0.346
117,0.0507,0.2148,0.185,0.355
118,0.0567,0.2019,0.195,0.344
119,0.0549,0.1929,0.193,0.331
120,0.0474,0.212,0.178,0.355
121,0.0576,0.2256,0.196,0.365
122,0.0567,0.2057,0.195,0.341
123,0.0515,0.1852,0.186,0.321
124,0.0498,0.2271,0.183,0.372
125,0.0489,0.2058,0.18,0.35
126,0.0547,0.1974,0.193,0.333
127,0.0445,0.2553,0.172,0.4
128,0.0465,0.1907,0.177,0.334
129,0.0481,0.215,0.179,0.36
130,0.0509,0.1833,0.184,0.325
131,0.0466,0.1911,0.177,0.348
132,0.0462,0.1903,0.176,0.328
133,0.0479,0.1927,0.18,0.334
134,0.0476,0.2056,0.179,0.342
135,0.0489,0.1931,0.181,0.338
136,0.0464,0.1871,0.177,0.323
137,0.046,0.2077,0.176,0.352
138,0.0405,0.1818,0.166,0.317
139,0.0428,0.2156,0.169,0.352
140,0.0429,0.1969,0.171,0.34
141,0.0434,0.2058,0.171,0.35
142,0.0398,0.2067,0.165,0.346
143,0.0452,0.1989,0.174,0.339
144,0.03,0.1784,0.142,0.315
145,0.0257,0.1761,0.131,0.314
146,0.027,0.1822,0.135,0.319
147,0.0262,0.178,0.132,0.313
148,0.0248,0.1814,0.128,0.317
149,0.023,0.1767,0.125,0.313
150,0.0235,0.1783,0.126,0.315
151,0.0235,0.1782,0.126,0.314
152,0.0226,0.1821,0.123,0.317
153,0.0238,0.1832,0.126,0.317
154,0.0237,0.179,0.126,0.315
155,0.0242,0.1788,0.127,0.314
156,0.0237,0.1837,0.126,0.319
157,0.0219,0.177,0.121,0.314
158,0.0239,0.184,0.126,0.319
159,0.0225,0.1851,0.123,0.321
160,0.0223,0.1767,0.122,0.313
161,0.0233,0.1817,0.125,0.317
162,0.0229,0.1787,0.124,0.314
163,0.0218,0.1832,0.121,0.319
164,0.0218,0.1793,0.121,0.315
165,0.0234,0.1781,0.124,0.315
166,0.0205,0.1796,0.117,0.315
167,0.0228,0.1797,0.123,0.315
168,0.0219,0.1819,0.121,0.318
169,0.0212,0.1803,0.119,0.315
170,0.0241,0.1778,0.127,0.313
171,0.0228,0.1769,0.124,0.312
172,0.0221,0.1819,0.123,0.318
173,0.0211,0.1758,0.119,0.312
174,0.0214,0.1827,0.12,0.319
175,0.0236,0.1827,0.126,0.318
176,0.0234,0.1829,0.124,0.318
177,0.0214,0.1788,0.121,0.315
178,0.0222,0.1919,0.123,0.329
179,0.0228,0.1821,0.124,0.318
180,0.0227,0.1781,0.124,0.315
181,0.0213,0.1805,0.119,0.317
182,0.0213,0.1798,0.118,0.315
183,0.0207,0.1785,0.118,0.314
184,0.0208,0.1804,0.119,0.317
185,0.0202,0.18,0.117,0.316
186,0.0202,0.1802,0.118,0.316
187,0.0208,0.1876,0.118,0.323
188,0.0199,0.1794,0.115,0.316
189,0.0209,0.1867,0.119,0.323
190,0.0199,0.1781,0.115,0.314
191,0.0214,0.1807,0.12,0.318
192,0.0224,0.179,0.123,0.314
193,0.0221,0.1817,0.122,0.317
194,0.021,0.1811,0.118,0.317
195,0.0192,0.1793,0.113,0.315
196,0.0201,0.1827,0.117,0.318
197,0.0191,0.1817,0.113,0.317
198,0.0206,0.1801,0.118,0.316
199,0.0213,0.1792,0.12,0.316
200,0.0196,0.1795,0.115,0.316
201,0.0212,0.1805,0.119,0.317
202,0.0206,0.178,0.117,0.313
203,0.0207,0.1822,0.118,0.319
204,0.021,0.1794,0.119,0.316
205,0.0204,0.1778,0.117,0.314
206,0.0214,0.1865,0.12,0.322
207,0.0201,0.1841,0.116,0.319
208,0.022,0.1852,0.123,0.322
209,0.0194,0.1813,0.114,0.317
210,0.0189,0.1806,0.112,0.317
211,0.021,0.1818,0.118,0.318
212,0.02,0.1809,0.116,0.316
213,0.0201,0.1827,0.116,0.318
214,0.0189,0.1801,0.112,0.316
215,0.0204,0.1824,0.117,0.319
216,0.0188,0.1828,0.113,0.319
217,0.0193,0.1803,0.113,0.317
218,0.0196,0.1854,0.115,0.321
219,0.0203,0.1827,0.117,0.32
220,0.0188,0.1802,0.112,0.316
