Epoch: [0][0/68]	Time 24.961 (24.961)	Data 24.747 (24.747)	Loss 2.1778 (2.1778)	MAE 1.277 (1.277)
Epoch: [0][1/68]	Time 0.044 (12.502)	Data 0.001 (12.374)	Loss 12.2299 (7.2038)	MAE 3.299 (2.288)
Epoch: [0][2/68]	Time 3.973 (9.659)	Data 3.942 (9.563)	Loss 20.1540 (11.5205)	MAE 4.348 (2.975)
Epoch: [0][3/68]	Time 0.042 (7.255)	Data 0.001 (7.173)	Loss 1.0937 (8.9138)	MAE 0.830 (2.438)
Epoch: [0][4/68]	Time 4.296 (6.663)	Data 4.261 (6.590)	Loss 1.2620 (7.3835)	MAE 0.873 (2.125)
Epoch: [0][5/68]	Time 0.042 (5.560)	Data 0.001 (5.492)	Loss 1.4181 (6.3892)	MAE 0.894 (1.920)
Epoch: [0][6/68]	Time 0.040 (4.771)	Data 0.001 (4.707)	Loss 1.1172 (5.6361)	MAE 0.838 (1.766)
Epoch: [0][7/68]	Time 0.042 (4.180)	Data 0.001 (4.119)	Loss 1.2557 (5.0886)	MAE 0.851 (1.651)
Epoch: [0][8/68]	Time 0.043 (3.720)	Data 0.001 (3.662)	Loss 1.2108 (4.6577)	MAE 0.820 (1.559)
Epoch: [0][9/68]	Time 0.040 (3.352)	Data 0.001 (3.295)	Loss 1.3956 (4.3315)	MAE 0.878 (1.491)
Epoch: [0][10/68]	Time 11.642 (4.106)	Data 11.609 (4.051)	Loss 1.0029 (4.0289)	MAE 0.738 (1.422)
Epoch: [0][11/68]	Time 0.045 (3.768)	Data 0.001 (3.714)	Loss 0.9796 (3.7748)	MAE 0.724 (1.364)
Epoch: [0][12/68]	Time 3.924 (3.780)	Data 3.893 (3.727)	Loss 1.0333 (3.5639)	MAE 0.726 (1.315)
Epoch: [0][13/68]	Time 1.163 (3.593)	Data 1.127 (3.542)	Loss 0.9233 (3.3753)	MAE 0.726 (1.273)
