Epoch,Train Loss,Validation Loss,Train MAE,Validation MAE
0,1.2971,0.7007,0.776,0.661
1,0.5016,0.4585,0.535,0.521
2,0.429,0.3645,0.495,0.453
3,0.4181,0.4388,0.487,0.532
4,0.3961,0.4959,0.475,0.528
5,0.3745,0.3582,0.461,0.447
6,0.3565,0.3533,0.448,0.457
7,0.3385,0.353,0.435,0.464
8,0.3288,0.3247,0.43,0.416
9,0.3046,0.3136,0.412,0.414
10,0.3072,0.4902,0.413,0.575
11,0.2804,0.2814,0.392,0.399
12,0.2814,0.2777,0.396,0.405
13,0.2825,0.2483,0.394,0.368
14,0.2657,0.2727,0.38,0.383
15,0.2913,0.2839,0.401,0.388
16,0.2482,0.4427,0.369,0.505
17,0.2478,0.3631,0.369,0.475
18,0.2367,0.3541,0.359,0.478
19,0.2369,0.3541,0.36,0.446
20,0.2314,0.258,0.354,0.381
21,0.2154,0.3574,0.339,0.483
22,0.2241,0.3381,0.346,0.461
23,0.2072,0.3358,0.333,0.458
24,0.2089,0.2516,0.336,0.371
25,0.2058,0.2249,0.335,0.351
26,0.2126,0.2967,0.341,0.41
27,0.1919,0.2499,0.322,0.373
28,0.1901,0.2594,0.32,0.366
29,0.1942,0.2526,0.325,0.382
30,0.1885,0.2211,0.322,0.347
31,0.1822,0.2602,0.313,0.372
32,0.1791,0.2226,0.31,0.343
33,0.1781,0.2331,0.313,0.354
34,0.1953,0.2841,0.326,0.394
35,0.1655,0.3246,0.299,0.43
36,0.1657,0.4041,0.299,0.516
37,0.1608,0.2365,0.297,0.352
38,0.1638,0.5094,0.301,0.593
39,0.1689,0.2515,0.306,0.369
40,0.1581,0.2564,0.297,0.366
41,0.1586,0.4837,0.295,0.56
42,0.146,0.2612,0.284,0.372
43,0.1686,0.2162,0.307,0.335
44,0.145,0.247,0.282,0.35
45,0.1364,0.2577,0.272,0.366
46,0.1414,0.4401,0.28,0.525
47,0.1551,0.4431,0.295,0.521
48,0.1331,0.2168,0.273,0.334
49,0.1249,0.3059,0.264,0.425
50,0.1287,0.2304,0.267,0.362
51,0.137,0.2578,0.276,0.364
52,0.1223,0.2528,0.263,0.382
53,0.125,0.2169,0.265,0.346
54,0.1235,0.2649,0.263,0.381
55,0.127,0.357,0.269,0.461
56,0.1266,0.2388,0.269,0.349
57,0.1211,0.209,0.264,0.322
58,0.1234,0.2603,0.267,0.385
59,0.1213,0.2968,0.262,0.418
60,0.1214,0.2821,0.262,0.384
61,0.1192,0.3209,0.261,0.436
62,0.1205,0.2307,0.263,0.35
63,0.114,0.3912,0.256,0.486
64,0.111,0.2517,0.254,0.357
65,0.105,0.3761,0.244,0.483
66,0.1113,0.2217,0.254,0.342
67,0.1035,0.2219,0.245,0.344
68,0.0985,0.2818,0.239,0.385
69,0.102,0.2846,0.244,0.401
70,0.1137,0.2171,0.258,0.33
71,0.1073,0.3539,0.247,0.443
72,0.1018,0.2338,0.243,0.353
73,0.1011,0.214,0.243,0.333
74,0.097,0.2286,0.239,0.333
75,0.0985,0.2202,0.239,0.336
76,0.099,0.2558,0.24,0.365
77,0.0879,0.2377,0.227,0.351
78,0.0876,0.2255,0.225,0.342
79,0.0884,0.2498,0.227,0.353
80,0.0853,0.2403,0.224,0.345
81,0.0887,0.1986,0.228,0.32
82,0.0858,0.2975,0.225,0.407
83,0.091,0.231,0.232,0.339
84,0.0798,0.2167,0.216,0.32
85,0.0797,0.2297,0.217,0.337
86,0.0859,0.2062,0.225,0.323
87,0.0724,0.2073,0.207,0.317
88,0.0786,0.2305,0.217,0.338
89,0.0843,0.2655,0.224,0.381
90,0.0891,0.1984,0.229,0.319
91,0.0819,0.2227,0.218,0.34
92,0.0871,0.2573,0.226,0.368
93,0.0762,0.2213,0.213,0.334
94,0.0706,0.2128,0.206,0.335
95,0.0677,0.2241,0.2,0.346
96,0.0982,0.2146,0.241,0.327
97,0.0743,0.2468,0.209,0.372
98,0.0684,0.2112,0.202,0.326
99,0.0771,0.2108,0.213,0.319
100,0.0546,0.1767,0.177,0.288
101,0.0459,0.1792,0.164,0.289
102,0.043,0.1798,0.159,0.29
103,0.0445,0.1818,0.161,0.294
104,0.0442,0.1852,0.161,0.295
105,0.043,0.1876,0.159,0.3
106,0.0416,0.1824,0.157,0.295
107,0.0426,0.1845,0.158,0.296
108,0.0399,0.1855,0.153,0.296
109,0.0414,0.1839,0.156,0.295
