material_id,bandgap_hse
qmof-644aab4,2.9017470000000003
qmof-85a8986,3.742023
qmof-07d3562,4.504094
qmof-9883029,3.511018
qmof-f224151,3.807474
qmof-fb4e82f,3.8384080000000003
qmof-0e1877f,3.6074479999999998
qmof-1fe23f7,4.926082
qmof-4db34af,4.171733
qmof-72352f8,3.9661910000000002
qmof-4063c99,3.8851000000000004
qmof-4a90838,3.284701
qmof-9b03351,5.2271529999999995
qmof-9c5c154,2.886801
qmof-c80c803,5.160106
qmof-355e9d2,3.7003260000000004
qmof-b7213aa,3.96855
qmof-7943fa6,4.654831
qmof-d007203,4.681731
qmof-49a800c,3.7118130000000003
qmof-ef07e73,4.476253
qmof-3133aaf,4.523716
qmof-b4606cd,2.984764
qmof-7708ea4,4.22261
qmof-9eeead2,4.5915289999999995
qmof-bc3f92f,4.577891
qmof-b8ef732,4.586805
qmof-5d009d5,4.508452
qmof-a432f8e,4.187859
qmof-f057986,5.967561
qmof-00b509c,3.452897
qmof-f2ae0a5,4.083352
qmof-dcabab2,1.687275
qmof-22a8f48,3.888456
qmof-93fec81,3.7112489999999996
qmof-b5586a3,3.578317
qmof-9545770,1.237404
qmof-2023658,4.6022549999999995
qmof-8f721fc,3.294606
qmof-42408b9,5.923525
qmof-37d508d,3.401282
qmof-b9a1228,3.390196
qmof-449b3ee,6.586474
qmof-e873125,3.835369
qmof-1b80432,3.361741
qmof-0b3d138,3.739812
qmof-5718ab1,3.7144909999999998
qmof-6c3e399,4.456168
qmof-7003032,4.290824
qmof-07ae0e9,3.870501
qmof-d260db4,3.9154169999999997
qmof-afc3059,2.783489
qmof-7c778f1,3.647152
qmof-177cedf,4.09525
qmof-5083a07,3.291232
qmof-2c0cdf7,1.7805520000000001
qmof-225c8dd,2.144897
qmof-4bbc418,4.423185
qmof-e9d7079,3.552998
qmof-e024f70,4.926859
qmof-33c75d7,4.141596
qmof-b0f27f3,4.164134
qmof-a160a88,4.209421
qmof-cacd1c8,3.27788
qmof-2f8901b,4.4595199999999995
qmof-ad02239,2.0247439999999997
qmof-741f030,4.829542
qmof-fbdf599,3.761368
qmof-459830d,4.120995
qmof-582aea9,3.4661
qmof-48fb4e9,3.059648
qmof-0a8808d,4.341899
qmof-0daa5d3,4.301647
qmof-f077716,4.863167000000001
qmof-ac01f2d,4.876882
qmof-044255f,4.448779
qmof-5c0fddb,3.896991
qmof-c22186d,3.071504
qmof-6ab4305,2.5589779999999998
qmof-1231f0a,3.502528
qmof-be06dfb,3.161291
qmof-1a90743,2.248759
qmof-76ab95c,2.350886
qmof-4b9ff08,2.249586
qmof-0d43f7f,1.7667480000000002
qmof-5c226cb,3.773232
qmof-3754b4e,4.1292100000000005
qmof-002580c,3.9782349999999997
qmof-ebae1e4,3.484603
qmof-7c5f404,3.526891
qmof-62da067,4.939162
qmof-7bcba44,3.811826
qmof-ade80fa,3.308897
qmof-9fad232,2.769528
qmof-def4cfb,3.304993
qmof-bcd74e7,3.0528459999999997
qmof-4fd6966,3.306375
qmof-3ea6b66,4.8202929999999995
qmof-d53fad7,4.339657
qmof-cb69483,3.027957
qmof-875c095,3.519713
qmof-d4b91fb,3.9089679999999998
qmof-d01066a,4.055974
qmof-b8d9ea0,4.097466
qmof-14c2b89,4.197172
qmof-c9bb6d6,2.768539
qmof-13af5eb,4.451091
qmof-e212836,4.4144950000000005
qmof-b23782e,3.768665
qmof-4d9f4e8,3.7790480000000004
qmof-e758e02,3.108594
qmof-1df1f71,4.311225
qmof-a97dbc4,3.993551
qmof-c605c0a,3.66704
qmof-d1ec783,4.403321
qmof-e02e5c6,2.350724
qmof-294c6fc,3.678331
qmof-18fef57,5.078544
qmof-ccded81,2.9632039999999997
qmof-b6e06d1,2.512537
qmof-6068fe2,4.354362
qmof-fdef13d,3.17483
qmof-270f527,4.250824
qmof-48ec37d,2.898594
qmof-7df997f,3.073901
qmof-63babd7,7.174092
qmof-03f76d4,7.130829
qmof-7b26ade,2.669706
qmof-854b146,4.490653
qmof-aef345f,4.511251
qmof-bc8c13d,6.293281
qmof-a668ff8,3.890015
qmof-4d020d6,2.826174
qmof-eca8b2e,3.851764
qmof-7f0e1cd,2.521385
qmof-309cef3,4.171501
qmof-873a982,3.659258
qmof-136a607,3.7836869999999996
qmof-0ac7a90,3.800706
qmof-1814167,3.819652
qmof-8eba52e,3.772002
qmof-df7fc19,4.477887
qmof-43a7019,4.491474999999999
qmof-7ef0e18,4.368788
qmof-d1cbf2f,4.218633
qmof-6a9204c,3.097808
qmof-8fa9c85,4.249642
qmof-d5014d8,3.9539109999999997
qmof-f91eaa7,3.674814
qmof-5cbb170,4.0263659999999994
qmof-f441841,3.720497
qmof-a715883,4.045351999999999
qmof-ecc4da9,3.305218
qmof-34b5f2d,3.210076
qmof-0baeff6,5.358555000000001
qmof-9e3b2f6,4.113931
qmof-16dfff2,5.784015
qmof-49bc51b,1.064698
qmof-6b9c221,3.62743
qmof-6db2252,4.235723999999999
qmof-88bea54,4.094054
qmof-f161d3d,3.339028
qmof-ec9d083,3.4171050000000003
qmof-5a4677e,4.692407
qmof-f16d368,3.856891
qmof-844ba33,4.7854779999999995
qmof-3f97eed,3.668316
qmof-0614d31,4.149813
qmof-e11d9cb,2.220878
qmof-5eabff0,1.579924
qmof-9a9e64a,1.6085950000000002
qmof-c4b76e9,1.6089179999999998
qmof-fbdd307,4.88913
qmof-3657264,4.191069
qmof-8b0680e,3.3178140000000003
qmof-679bb6b,3.8589510000000002
qmof-a07366c,4.102639
qmof-213c150,3.434582
qmof-25b0904,3.4108780000000003
qmof-8499bb2,3.553777
qmof-6eae3f7,3.448569
qmof-6840e6b,4.222265
qmof-32c8f96,3.8866959999999997
qmof-6504d94,3.562534
qmof-e29dfd2,3.75661
qmof-c458714,6.1060490000000005
qmof-de9d67c,3.2354589999999996
qmof-3d63cef,3.185173
qmof-a7e3a59,3.18697
qmof-666050e,2.510974
qmof-ba1edaa,3.173971
qmof-e132d67,2.505995
qmof-a8cfc39,3.6003600000000002
qmof-fe4db64,3.3333329999999997
qmof-e5d44b6,6.700452
qmof-b2a8e0e,4.008101
qmof-9ca48a0,5.615622
qmof-1246441,6.289038
qmof-c8b355e,4.734334
qmof-cc0c005,3.33401
qmof-6ff64b6,5.055324
qmof-bcc1269,4.493421
qmof-68a8f48,4.828193000000001
qmof-dd76d21,3.523015
qmof-b7b8b62,3.187236
qmof-b46d9f5,3.988548
qmof-9977307,3.636163
qmof-7f0f059,3.0790889999999997
qmof-37e791c,2.940734
qmof-e54c960,3.958009
qmof-3c96780,3.711419
qmof-14c3c38,2.6223650000000003
qmof-e036ae1,4.020318
qmof-4c3897e,3.9804500000000003
qmof-8676659,1.803879
qmof-7787590,2.978556
qmof-e6a0327,2.774858
qmof-0fa2384,3.152253
qmof-86ab3d5,5.163579
qmof-7d02795,2.648689
qmof-2943f96,3.861771
qmof-e4ec22b,4.090467
qmof-537f6ec,4.546761
qmof-b3bf417,3.6641399999999997
qmof-778efcb,4.325057
qmof-c0f13ca,3.791023
qmof-e3a20ba,2.925275
qmof-3029056,3.7472570000000003
qmof-beb7ad4,3.686934
qmof-285b2ff,2.868619
qmof-02fc147,2.718596
qmof-3b6652e,5.003484
qmof-9f9b665,3.145476
qmof-ffe1312,3.679138
qmof-9845d29,4.22914
qmof-ef5f46f,2.5037200000000004
qmof-f774737,2.969764
qmof-8b88ed3,4.1909030000000005
qmof-83e07e9,4.324133
qmof-6e5f0d6,4.10216
qmof-7edffdc,3.819452
qmof-e18a048,4.044465
qmof-b9c5c8c,5.934106
qmof-2bb9974,2.11152
qmof-b5ec64a,3.390173
qmof-546dd2b,2.994501
qmof-e84c5c9,3.7686960000000003
qmof-0eba9d1,5.248517
qmof-aca49e8,4.034191
qmof-0056327,4.281543
qmof-6815e74,2.2335890000000003
qmof-43a7c42,4.333075
qmof-b1eac6f,4.192879
qmof-e0e4dbd,4.065049
qmof-da91405,4.285851
qmof-206a6de,5.800441
qmof-c36c401,3.604539
qmof-f4ccf24,4.664026
qmof-3f72143,4.70474
qmof-285d109,3.658206
qmof-702a0a9,3.4957969999999996
qmof-050c8bc,4.502575
qmof-6a08cb9,3.801088
qmof-bbea870,3.389058
qmof-50cbb92,3.707296
qmof-b1c70fd,4.297093
qmof-01edd7e,3.925913
qmof-7505ece,3.754705
qmof-b44d887,3.543991
qmof-cf8f441,6.671018
qmof-b4a483b,3.105279
qmof-10947da,3.7051870000000005
qmof-401a2c2,3.6584339999999997
qmof-8b6c81e,4.939714
qmof-4e4b76a,5.174367999999999
qmof-520ebea,4.091473
qmof-221bac5,4.577834
qmof-85a47a8,5.940507
qmof-630c138,4.998518
qmof-9d1bb2b,3.888748
qmof-334586a,3.172952
qmof-94200c0,4.2360299999999995
qmof-e8e4106,3.3533030000000004
qmof-f0f7453,3.418241
qmof-b125dd6,5.167057
qmof-89eb540,4.173332
qmof-11b15c6,4.732903
qmof-48ecb3b,4.686457
qmof-79e46ad,4.542417
qmof-ec81e8a,3.627452
qmof-ab89669,2.1494359999999997
qmof-d1f791b,4.6672460000000004
qmof-1773abb,4.517402
qmof-fcbd00c,4.336187
qmof-8ae539d,4.043259
qmof-6efe8f8,4.102612
qmof-462a448,5.3833009999999994
qmof-81022c0,3.9135079999999998
qmof-176cc4f,3.911572
qmof-12dfe13,5.91329
qmof-352b9b5,5.761381
qmof-e4ea248,3.211686
qmof-b14702d,2.9163910000000004
qmof-6dd9a5a,4.202025
qmof-a740fb7,3.823131
qmof-1817e88,3.572324
qmof-ef85522,3.049281
qmof-e21e341,4.498902
qmof-cbce3c5,3.770208
qmof-bf96a9f,4.1001970000000005
qmof-975d128,4.616820000000001
qmof-1548d62,4.967944
qmof-42b2d04,3.034446
qmof-8e6a68f,3.922716
qmof-1d20a91,2.01264
qmof-517abf2,2.20189
qmof-a61cced,3.926082
qmof-e169936,3.7104150000000002
qmof-cff9a36,3.883145
qmof-aff572c,4.597655
qmof-c970470,4.6755960000000005
qmof-3470a15,4.3251990000000005
qmof-07fb9bf,2.756823
qmof-8cc38c9,4.878606
qmof-be09118,3.4971110000000003
qmof-5a93d85,2.567305
qmof-89c9846,3.8655359999999996
qmof-74c5a19,3.0593179999999998
qmof-aa662d6,3.30069
qmof-9eec513,3.5744
qmof-863f3a9,3.601711
qmof-e521165,3.832039
qmof-4d20956,3.735721
qmof-1b6c849,2.774057
qmof-36f1dad,4.030526
qmof-7e3ab62,4.05325
qmof-ff1391f,4.479621
qmof-859b831,4.715071
qmof-cc44e12,3.838546
qmof-485839c,4.658955000000001
qmof-2063f6c,4.803677
qmof-64aeaba,2.987508
qmof-c31564c,2.559323
qmof-2622a28,2.7300210000000003
qmof-746e866,4.631244
qmof-c8f0292,3.494605
qmof-4a2dcce,4.140245999999999
qmof-60b56bd,4.261931
qmof-4ffb71f,4.027382
qmof-ed3b382,4.0097629999999995
qmof-c9bcdde,4.209017
qmof-2d7d1e7,3.611742
qmof-e14a6bb,4.402449
qmof-bfc5248,2.35319
qmof-d3b0421,3.685771
qmof-2596182,3.458119
qmof-c430d7c,3.1107259999999997
qmof-2ab1c90,5.190598
qmof-18059b1,5.486447
