material_id,target,filename,spacegroup_num,crystal_system_int,structural complexity per atom,structural complexity per cell,mean absolute deviation in relative bond length,max relative bond length,min relative bond length,maximum neighbor distance variation,range neighbor distance variation,mean neighbor distance variation,avg_dev neighbor distance variation,mean absolute deviation in relative cell size,mean Average bond length,std_dev Average bond length,mean Average bond angle,std_dev Average bond angle,mean CN_VoronoiNN,std_dev CN_VoronoiNN,density,vpa,packing fraction,a,b,c,alpha,beta,gamma,natoms
qmof-644aab4,2.9017470000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-85a8986,3.742023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-07d3562,4.504094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-9883029,3.511018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-f224151,3.807474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-fb4e82f,3.838408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-0e1877f,3.607448,qmof-0e1877f.cif,1.0,1.0,1.0,89.0,0.1797902628368032,1.6953589452585969,0.7740848695856628,0.9718024006265662,0.9717981977124092,0.2223952903083677,0.1792182753554979,0.7588291064158649,1.35904933617413,0.3170455196780838,116.04960613804552,19.22891327423114,16.04494382022472,4.521882158490069,1.6890319926150748,10.000457240455146,0.7166179337231969,5.56142014,8.97953831,18.56941088,77.10433482,81.57041185,82.79502788000002,89.0
qmof-1fe23f7,4.926082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-4db34af,4.171733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-72352f8,3.966191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-4063c99,3.8851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-4a90838,3.284701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-9b03351,5.227153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-9c5c154,2.886801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-c80c803,5.160106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-355e9d2,3.700326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-b7213aa,3.96855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-7943fa6,4.654831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-d007203,4.681731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-49a800c,3.711813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-ef07e73,4.476253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-3133aaf,4.523716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-b4606cd,2.984764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-7708ea4,4.22261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-9eeead2,4.591529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-bc3f92f,4.577891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-b8ef732,4.586805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-5d009d5,4.508452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-a432f8e,4.187859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-f057986,5.967561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-00b509c,3.452897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-f2ae0a5,4.083352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-dcabab2,1.687275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-22a8f48,3.888456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-93fec81,3.711249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-b5586a3,3.578317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-9545770,1.237404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-2023658,4.602255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-8f721fc,3.294606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-42408b9,5.923525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-37d508d,3.401282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-b9a1228,3.390196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-449b3ee,6.586474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-e873125,3.835369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-1b80432,3.361741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-0b3d138,3.739812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-5718ab1,3.714491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-6c3e399,4.456168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-7003032,4.290824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-07ae0e9,3.870501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-d260db4,3.915417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-afc3059,2.783489,qmof-afc3059.cif,4.0,2.0,0.5,29.0,0.199886061413528,1.630014228658418,0.7151238429018597,1.0548067739743732,1.0548049897228624,0.2771708962881849,0.192675381537885,0.8261108831467645,1.383345267564893,0.3528076005645147,116.99709249072583,20.650703177024116,17.586206896551722,3.0796018705884287,1.877430632248234,9.56910261827228,0.7696232339089482,6.52730275,6.77433849,12.55616329,91.5473746,90.00036963,90.00011984,58.0
qmof-7c778f1,3.647152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-177cedf,4.09525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-5083a07,3.291232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-2c0cdf7,1.780552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-225c8dd,2.144897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-4bbc418,4.423185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-e9d7079,3.552998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-e024f70,4.926859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-33c75d7,4.141596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-b0f27f3,4.164134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-a160a88,4.209421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-cacd1c8,3.27788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-2f8901b,4.45952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-ad02239,2.024744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-741f030,4.829542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-fbdf599,3.761368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-459830d,4.120995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-582aea9,3.4661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-48fb4e9,3.059648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-0a8808d,4.341899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-0daa5d3,4.301647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-f077716,4.863167000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-ac01f2d,4.876882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-044255f,4.448779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-5c0fddb,3.896991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-c22186d,3.071504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-6ab4305,2.558978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-1231f0a,3.502528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-be06dfb,3.161291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-1a90743,2.248759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-76ab95c,2.350886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-4b9ff08,2.249586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-0d43f7f,1.7667480000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-5c226cb,3.773232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-3754b4e,4.1292100000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-002580c,3.978235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-ebae1e4,3.484603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-7c5f404,3.526891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-62da067,4.939162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-7bcba44,3.811826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-ade80fa,3.308897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-9fad232,2.769528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-def4cfb,3.304993,qmof-def4cfb.cif,33.0,3.0,0.25,35.0,0.1473250554139821,1.553618422504522,0.8070417212746712,0.94834281104834,0.9483428110483396,0.2156038261714536,0.1688917539443099,0.7628185095396637,1.3498291319643836,0.2875912730439217,118.2542182216988,7.26947032623474,15.314285714285717,4.767577573397977,1.2251198626649826,10.853070369937925,0.6826086956521739,7.87851732,11.14550352,17.3036,90.0,90.0,90.0,140.0
qmof-bcd74e7,3.052846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-4fd6966,3.306375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-3ea6b66,4.820293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-d53fad7,4.339657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-cb69483,3.027957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-875c095,3.519713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-d4b91fb,3.908968,qmof-d4b91fb.cif,12.0,2.0,0.2758620689655172,24.0,0.1491861082876371,1.763850955332341,0.8035962935673727,1.278369460954686,1.2783693068706747,0.2213396636192066,0.1631415242798457,0.7621702456574365,1.347331903008912,0.3170704513862775,118.06536786778648,16.408153687055854,15.701149425287356,4.389420254780166,1.3664895492291835,12.030278987421582,0.6431539374752672,9.2360651,9.386535449999998,13.86689541,90.06039111,90.13668978,60.52983419000001,87.0
qmof-d01066a,4.055974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-b8d9ea0,4.097466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-14c2b89,4.197172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-c9bb6d6,2.768539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
