Starting hyperparameter optimization with Optuna...
../datasets/relaxed_structures_hse_bg_decgcnn ../datasets/relaxed_structures_hse_bg_decgcnn/structure_descriptors_normalized.csv 28
Epoch: [0][0/271]	Time 4.560 (4.560)	Data 4.252 (4.252)	Loss 1.7984 (1.7984)	MAE 1.122 (1.122)
Epoch: [0][1/271]	Time 0.280 (2.420)	Data 0.263 (2.258)	Loss 8.2115 (5.0049)	MAE 2.856 (1.989)
Epoch: [0][2/271]	Time 0.008 (1.616)	Data 0.000 (1.505)	Loss 34.6447 (14.8849)	MAE 6.013 (3.330)
Epoch: [0][3/271]	Time 0.011 (1.215)	Data 0.000 (1.129)	Loss 133.6741 (44.5822)	MAE 12.096 (5.522)
Epoch: [0][4/271]	Time 0.009 (0.974)	Data 0.000 (0.903)	Loss 454.9904 (126.6638)	MAE 22.295 (8.876)
Epoch: [0][5/271]	Time 0.013 (0.814)	Data 0.000 (0.753)	Loss 1158.3839 (298.6172)	MAE 35.609 (13.332)
Epoch: [0][6/271]	Time 0.012 (0.699)	Data 0.000 (0.645)	Loss 1248.9901 (434.3847)	MAE 36.538 (16.647)
Epoch: [0][7/271]	Time 0.012 (0.613)	Data 0.000 (0.565)	Loss 20.0545 (382.5935)	MAE 4.396 (15.116)
Epoch: [0][8/271]	Time 3.262 (0.907)	Data 3.252 (0.863)	Loss 240.3546 (366.7891)	MAE 16.236 (15.240)
Epoch: [0][9/271]	Time 0.363 (0.853)	Data 0.349 (0.812)	Loss 77.7266 (337.8829)	MAE 9.194 (14.635)
Epoch: [0][10/271]	Time 0.011 (0.776)	Data 0.000 (0.738)	Loss 1.7165 (307.3223)	MAE 1.064 (13.402)
Epoch: [0][11/271]	Time 0.008 (0.712)	Data 0.000 (0.677)	Loss 17.6391 (283.1820)	MAE 4.252 (12.639)
Epoch: [0][12/271]	Time 0.009 (0.658)	Data 0.000 (0.625)	Loss 27.0835 (263.4822)	MAE 5.272 (12.072)
Epoch: [0][13/271]	Time 0.009 (0.612)	Data 0.000 (0.580)	Loss 20.1304 (246.0999)	MAE 4.495 (11.531)
Epoch: [0][14/271]	Time 0.009 (0.572)	Data 0.000 (0.541)	Loss 5.6557 (230.0703)	MAE 2.306 (10.916)
Epoch: [0][15/271]	Time 0.008 (0.537)	Data 0.000 (0.507)	Loss 2.2557 (215.8319)	MAE 1.321 (10.316)
Epoch: [0][16/271]	Time 3.747 (0.725)	Data 3.737 (0.697)	Loss 1.2164 (203.2074)	MAE 0.899 (9.762)
Epoch: [0][17/271]	Time 0.009 (0.686)	Data 0.000 (0.659)	Loss 2.5273 (192.0585)	MAE 1.574 (9.308)
Epoch: [0][18/271]	Time 0.009 (0.650)	Data 0.000 (0.624)	Loss 4.1855 (182.1705)	MAE 1.967 (8.921)
Epoch: [0][19/271]	Time 0.010 (0.618)	Data 0.000 (0.593)	Loss 3.0376 (173.2138)	MAE 1.653 (8.558)
Epoch: [0][20/271]	Time 0.009 (0.589)	Data 0.000 (0.565)	Loss 1.1908 (165.0223)	MAE 0.960 (8.196)
Epoch: [0][21/271]	Time 0.008 (0.563)	Data 0.000 (0.539)	Loss 1.5055 (157.5897)	MAE 0.969 (7.868)
Epoch: [0][22/271]	Time 0.008 (0.539)	Data 0.000 (0.516)	Loss 0.6070 (150.7643)	MAE 0.613 (7.552)
Epoch: [0][23/271]	Time 0.008 (0.516)	Data 0.000 (0.494)	Loss 1.2824 (144.5359)	MAE 0.945 (7.277)
Epoch: [0][24/271]	Time 3.333 (0.629)	Data 3.323 (0.607)	Loss 0.9489 (138.7924)	MAE 0.866 (7.020)
Epoch: [0][25/271]	Time 0.008 (0.605)	Data 0.000 (0.584)	Loss 1.2771 (133.5034)	MAE 0.917 (6.786)
Epoch: [0][26/271]	Time 0.009 (0.583)	Data 0.000 (0.562)	Loss 0.8964 (128.5920)	MAE 0.829 (6.565)
Epoch: [0][27/271]	Time 0.008 (0.563)	Data 0.000 (0.542)	Loss 0.3679 (124.0126)	MAE 0.518 (6.349)
Epoch: [0][28/271]	Time 0.008 (0.543)	Data 0.000 (0.524)	Loss 0.8779 (119.7666)	MAE 0.787 (6.157)
Epoch: [0][29/271]	Time 0.008 (0.526)	Data 0.000 (0.506)	Loss 0.4600 (115.7897)	MAE 0.554 (5.970)
Epoch: [0][30/271]	Time 0.013 (0.509)	Data 0.000 (0.490)	Loss 0.9629 (112.0856)	MAE 0.849 (5.805)
Epoch: [0][31/271]	Time 0.013 (0.493)	Data 0.000 (0.474)	Loss 0.9354 (108.6121)	MAE 0.767 (5.648)
Epoch: [0][32/271]	Time 3.524 (0.585)	Data 3.508 (0.566)	Loss 0.6398 (105.3403)	MAE 0.667 (5.497)
