0
../datasets/relaxed_structures_hse_bg ../datasets/relaxed_structures_hse_bg/structure_descriptors.csv 28
Epoch: [0][0/68]	Time 39.503 (39.503)	Data 39.270 (39.270)	Loss 1.0306 (1.0306)	MAE 0.822 (0.822)
Epoch: [0][1/68]	Time 1.642 (20.573)	Data 1.601 (20.435)	Loss 0.7446 (0.8876)	MAE 0.699 (0.760)
Epoch: [0][2/68]	Time 0.033 (13.726)	Data 0.001 (13.624)	Loss 0.6446 (0.8066)	MAE 0.647 (0.723)
Epoch: [0][3/68]	Time 0.042 (10.305)	Data 0.001 (10.218)	Loss 0.8694 (0.8223)	MAE 0.748 (0.729)
Epoch: [0][4/68]	Time 0.041 (8.252)	Data 0.001 (8.175)	Loss 0.6210 (0.7820)	MAE 0.649 (0.713)
Epoch: [0][5/68]	Time 0.046 (6.885)	Data 0.001 (6.812)	Loss 0.6544 (0.7608)	MAE 0.665 (0.705)
Epoch: [0][6/68]	Time 0.042 (5.907)	Data 0.001 (5.839)	Loss 0.7927 (0.7653)	MAE 0.716 (0.707)
Epoch: [0][7/68]	Time 1.022 (5.296)	Data 0.989 (5.233)	Loss 0.6380 (0.7494)	MAE 0.652 (0.700)
Epoch: [0][8/68]	Time 0.038 (4.712)	Data 0.001 (4.652)	Loss 0.7184 (0.7459)	MAE 0.671 (0.697)
Epoch: [0][9/68]	Time 0.038 (4.245)	Data 0.001 (4.186)	Loss 0.7446 (0.7458)	MAE 0.729 (0.700)
Epoch: [0][10/68]	Time 18.244 (5.517)	Data 18.189 (5.459)	Loss 0.5845 (0.7312)	MAE 0.632 (0.694)
Epoch: [0][11/68]	Time 1.143 (5.153)	Data 1.112 (5.097)	Loss 0.5555 (0.7165)	MAE 0.632 (0.688)
Epoch: [0][12/68]	Time 0.041 (4.760)	Data 0.001 (4.705)	Loss 0.6725 (0.7131)	MAE 0.680 (0.688)
Epoch: [0][13/68]	Time 2.208 (4.577)	Data 2.175 (4.524)	Loss 0.6656 (0.7097)	MAE 0.621 (0.683)
Epoch: [0][14/68]	Time 0.040 (4.275)	Data 0.001 (4.223)	Loss 0.6635 (0.7067)	MAE 0.628 (0.679)
Epoch: [0][15/68]	Time 0.039 (4.010)	Data 0.001 (3.959)	Loss 0.6385 (0.7024)	MAE 0.626 (0.676)
Epoch: [0][16/68]	Time 0.039 (3.776)	Data 0.001 (3.726)	Loss 0.6362 (0.6985)	MAE 0.627 (0.673)
Epoch: [0][17/68]	Time 0.040 (3.569)	Data 0.001 (3.519)	Loss 0.5987 (0.6930)	MAE 0.646 (0.672)
Epoch: [0][18/68]	Time 0.041 (3.383)	Data 0.001 (3.334)	Loss 0.7165 (0.6942)	MAE 0.692 (0.673)
Epoch: [0][19/68]	Time 0.037 (3.216)	Data 0.001 (3.167)	Loss 0.6026 (0.6896)	MAE 0.643 (0.671)
Epoch: [0][20/68]	Time 17.566 (3.899)	Data 17.516 (3.851)	Loss 0.5199 (0.6815)	MAE 0.600 (0.668)
Epoch: [0][21/68]	Time 0.935 (3.765)	Data 0.905 (3.717)	Loss 0.6005 (0.6778)	MAE 0.655 (0.667)
Epoch: [0][22/68]	Time 0.042 (3.603)	Data 0.001 (3.555)	Loss 0.7035 (0.6790)	MAE 0.688 (0.668)
Epoch: [0][23/68]	Time 1.297 (3.507)	Data 1.262 (3.460)	Loss 0.4708 (0.6703)	MAE 0.558 (0.664)
