Epoch,Train Loss,Validation Loss,Train MAE,Validation MAE
0,0.5947,0.5196,0.621,0.59
1,0.5133,0.6114,0.579,0.634
2,0.4877,0.5241,0.557,0.57
3,0.4293,0.44,0.521,0.512
4,0.4345,0.4241,0.524,0.536
5,0.3943,0.3372,0.501,0.463
6,0.4029,0.3715,0.503,0.496
7,0.3521,0.5137,0.471,0.578
8,0.3225,0.2829,0.45,0.418
9,0.3106,0.5295,0.441,0.61
10,0.3091,0.3591,0.441,0.48
11,0.3018,0.2951,0.433,0.428
12,0.2978,0.4121,0.431,0.538
13,0.2922,0.2635,0.424,0.411
14,0.2824,0.2788,0.419,0.415
15,0.2715,0.2446,0.413,0.38
16,0.2493,0.3045,0.391,0.441
17,0.2544,0.3102,0.397,0.435
18,0.2497,0.242,0.391,0.379
19,0.2374,0.2453,0.382,0.396
20,0.2334,0.2274,0.379,0.377
21,0.2306,0.3186,0.372,0.461
22,0.2305,0.2669,0.379,0.419
23,0.2201,0.8201,0.369,0.814
24,0.2066,0.2905,0.355,0.45
25,0.2114,0.2712,0.36,0.427
26,0.1992,0.3293,0.349,0.491
27,0.1971,0.2343,0.348,0.381
28,0.1957,0.2894,0.346,0.454
29,0.1933,0.3116,0.342,0.449
30,0.2025,0.2102,0.353,0.364
31,0.1816,0.2034,0.332,0.353
32,0.1825,0.382,0.335,0.525
33,0.1889,0.5975,0.342,0.672
34,0.1739,0.2609,0.325,0.412
35,0.1802,0.2112,0.334,0.354
36,0.1716,0.2879,0.325,0.445
37,0.17,0.1828,0.323,0.331
38,0.1561,0.246,0.31,0.404
39,0.1659,0.2639,0.319,0.427
40,0.1676,0.2612,0.322,0.403
41,0.1578,0.2084,0.313,0.354
42,0.1471,0.1941,0.299,0.342
43,0.1473,0.3454,0.302,0.498
44,0.1464,0.2249,0.301,0.376
45,0.6329,0.4634,0.638,0.553
46,0.4801,0.3747,0.556,0.501
47,0.482,0.3788,0.558,0.483
48,0.4329,0.5396,0.526,0.595
49,0.4007,0.5344,0.504,0.574
50,0.3985,0.4887,0.507,0.594
51,0.3594,0.4341,0.475,0.522
52,0.3881,0.4332,0.497,0.532
53,0.3594,0.4881,0.478,0.555
54,0.6449,0.4652,0.645,0.532
55,0.5085,0.54,0.574,0.616
