0
../datasets/relaxed_structures_hse_bg ../datasets/relaxed_structures_hse_bg/structure_descriptors_normalized.csv 28
0
../datasets/relaxed_structures_hse_bg ../datasets/relaxed_structures_hse_bg/structure_descriptors_normalized.csv 28
Epoch: [0][0/68]	Time 14.664 (14.664)	Data 13.842 (13.842)	Loss 1.4549 (1.4549)	MAE 0.959 (0.959)
Epoch: [0][1/68]	Time 1.575 (8.119)	Data 1.536 (7.689)	Loss 1.1083 (1.2816)	MAE 0.765 (0.862)
Epoch: [0][2/68]	Time 1.939 (6.059)	Data 1.902 (5.760)	Loss 0.7199 (1.0944)	MAE 0.661 (0.795)
Epoch: [0][3/68]	Time 4.401 (5.645)	Data 4.370 (5.412)	Loss 1.0256 (1.0772)	MAE 0.767 (0.788)
Epoch: [0][4/68]	Time 0.040 (4.524)	Data 0.001 (4.330)	Loss 1.1607 (1.0939)	MAE 0.791 (0.789)
Epoch: [0][5/68]	Time 0.040 (3.776)	Data 0.001 (3.609)	Loss 0.8182 (1.0479)	MAE 0.675 (0.770)
Epoch: [0][6/68]	Time 1.445 (3.443)	Data 1.414 (3.295)	Loss 0.6181 (0.9865)	MAE 0.632 (0.750)
Epoch: [0][7/68]	Time 0.039 (3.018)	Data 0.001 (2.883)	Loss 0.7105 (0.9520)	MAE 0.676 (0.741)
Epoch: [0][8/68]	Time 0.042 (2.687)	Data 0.001 (2.563)	Loss 0.8484 (0.9405)	MAE 0.699 (0.736)
Epoch: [0][9/68]	Time 0.039 (2.422)	Data 0.001 (2.307)	Loss 0.9782 (0.9443)	MAE 0.711 (0.734)
Epoch: [0][10/68]	Time 8.473 (2.972)	Data 8.442 (2.865)	Loss 0.5851 (0.9116)	MAE 0.608 (0.722)
Epoch: [0][11/68]	Time 3.991 (3.057)	Data 3.950 (2.955)	Loss 0.7632 (0.8993)	MAE 0.650 (0.716)
Epoch: [0][12/68]	Time 0.041 (2.825)	Data 0.001 (2.728)	Loss 0.5883 (0.8753)	MAE 0.609 (0.708)
Epoch: [0][13/68]	Time 2.635 (2.812)	Data 2.598 (2.719)	Loss 1.0798 (0.8899)	MAE 0.811 (0.715)
Epoch: [0][14/68]	Time 0.039 (2.627)	Data 0.001 (2.537)	Loss 0.5440 (0.8669)	MAE 0.569 (0.705)
Epoch: [0][15/68]	Time 2.939 (2.646)	Data 2.905 (2.560)	Loss 0.6009 (0.8503)	MAE 0.585 (0.698)
Epoch: [0][16/68]	Time 1.398 (2.573)	Data 1.367 (2.490)	Loss 0.5421 (0.8321)	MAE 0.577 (0.691)
Epoch: [0][17/68]	Time 0.040 (2.432)	Data 0.001 (2.352)	Loss 0.5315 (0.8154)	MAE 0.539 (0.682)
Epoch: [0][18/68]	Time 0.038 (2.306)	Data 0.001 (2.228)	Loss 0.6932 (0.8090)	MAE 0.669 (0.682)
Epoch: [0][19/68]	Time 0.039 (2.193)	Data 0.001 (2.117)	Loss 0.8300 (0.8100)	MAE 0.673 (0.681)
Epoch: [0][20/68]	Time 10.388 (2.583)	Data 10.355 (2.509)	Loss 0.6520 (0.8025)	MAE 0.582 (0.676)
Epoch: [0][21/68]	Time 0.034 (2.467)	Data 0.001 (2.395)	Loss 0.9052 (0.8072)	MAE 0.727 (0.679)
Epoch: [0][22/68]	Time 6.283 (2.633)	Data 6.246 (2.562)	Loss 0.8384 (0.8085)	MAE 0.710 (0.680)
Epoch: [0][23/68]	Time 0.040 (2.525)	Data 0.001 (2.456)	Loss 0.6920 (0.8037)	MAE 0.656 (0.679)
Epoch: [0][24/68]	Time 0.038 (2.426)	Data 0.001 (2.358)	Loss 0.7709 (0.8024)	MAE 0.656 (0.678)
Epoch: [0][25/68]	Time 1.472 (2.389)	Data 1.436 (2.322)	Loss 0.4322 (0.7881)	MAE 0.532 (0.673)
Epoch: [0][26/68]	Time 1.097 (2.341)	Data 1.062 (2.275)	Loss 0.5522 (0.7794)	MAE 0.578 (0.669)
Epoch: [0][27/68]	Time 0.041 (2.259)	Data 0.001 (2.194)	Loss 0.8928 (0.7835)	MAE 0.703 (0.670)
Epoch: [0][28/68]	Time 0.041 (2.183)	Data 0.002 (2.119)	Loss 0.5899 (0.7768)	MAE 0.588 (0.667)
Epoch: [0][29/68]	Time 0.041 (2.111)	Data 0.001 (2.048)	Loss 0.6193 (0.7715)	MAE 0.609 (0.665)
Epoch: [0][30/68]	Time 10.782 (2.391)	Data 10.752 (2.329)	Loss 0.5378 (0.7640)	MAE 0.562 (0.662)
Epoch: [0][31/68]	Time 3.812 (2.435)	Data 3.781 (2.374)	Loss 0.6020 (0.7589)	MAE 0.559 (0.659)
Epoch: [0][32/68]	Time 1.432 (2.405)	Data 1.400 (2.345)	Loss 0.6664 (0.7561)	MAE 0.596 (0.657)
Epoch: [0][33/68]	Time 0.042 (2.335)	Data 0.001 (2.276)	Loss 0.6234 (0.7522)	MAE 0.549 (0.654)
Epoch: [0][34/68]	Time 0.042 (2.270)	Data 0.001 (2.211)	Loss 0.5246 (0.7457)	MAE 0.554 (0.651)
Epoch: [0][35/68]	Time 2.709 (2.282)	Data 2.672 (2.223)	Loss 0.5708 (0.7409)	MAE 0.574 (0.649)
Epoch: [0][36/68]	Time 1.260 (2.254)	Data 1.227 (2.197)	Loss 0.5322 (0.7352)	MAE 0.519 (0.645)
Epoch: [0][37/68]	Time 1.318 (2.230)	Data 1.289 (2.173)	Loss 0.6822 (0.7338)	MAE 0.618 (0.645)
Epoch: [0][38/68]	Time 0.044 (2.174)	Data 0.001 (2.117)	Loss 0.6557 (0.7318)	MAE 0.564 (0.643)
Epoch: [0][39/68]	Time 0.042 (2.120)	Data 0.001 (2.064)	Loss 0.5245 (0.7266)	MAE 0.565 (0.641)
Epoch: [0][40/68]	Time 8.729 (2.282)	Data 8.697 (2.226)	Loss 0.6300 (0.7243)	MAE 0.577 (0.639)
Epoch: [0][41/68]	Time 3.776 (2.317)	Data 3.740 (2.262)	Loss 0.6480 (0.7225)	MAE 0.611 (0.638)
Epoch: [0][42/68]	Time 2.901 (2.331)	Data 2.868 (2.276)	Loss 0.5049 (0.7174)	MAE 0.547 (0.636)
Epoch: [0][43/68]	Time 0.039 (2.279)	Data 0.001 (2.224)	Loss 0.5465 (0.7135)	MAE 0.575 (0.635)
Epoch: [0][44/68]	Time 0.040 (2.229)	Data 0.001 (2.175)	Loss 0.7009 (0.7132)	MAE 0.648 (0.635)
Epoch: [0][45/68]	Time 1.459 (2.212)	Data 1.429 (2.159)	Loss 0.6048 (0.7109)	MAE 0.582 (0.634)
Epoch: [0][46/68]	Time 1.254 (2.192)	Data 1.222 (2.139)	Loss 0.6646 (0.7099)	MAE 0.645 (0.634)
Epoch: [0][47/68]	Time 3.177 (2.212)	Data 3.143 (2.160)	Loss 0.5427 (0.7064)	MAE 0.563 (0.633)
Epoch: [0][48/68]	Time 0.045 (2.168)	Data 0.000 (2.116)	Loss 0.5333 (0.7029)	MAE 0.553 (0.631)
Epoch: [0][49/68]	Time 0.043 (2.126)	Data 0.000 (2.073)	Loss 0.8741 (0.7063)	MAE 0.685 (0.632)
Epoch: [0][50/68]	Time 9.130 (2.263)	Data 9.099 (2.211)	Loss 0.6564 (0.7053)	MAE 0.582 (0.631)
Epoch: [0][51/68]	Time 2.405 (2.266)	Data 2.375 (2.214)	Loss 0.9008 (0.7091)	MAE 0.768 (0.634)
Epoch: [0][52/68]	Time 0.042 (2.224)	Data 0.001 (2.172)	Loss 0.6089 (0.7072)	MAE 0.598 (0.633)
Epoch: [0][53/68]	Time 2.361 (2.226)	Data 2.327 (2.175)	Loss 0.7777 (0.7085)	MAE 0.682 (0.634)
Epoch: [0][54/68]	Time 1.298 (2.209)	Data 1.264 (2.159)	Loss 0.8095 (0.7103)	MAE 0.692 (0.635)
Epoch: [0][55/68]	Time 0.038 (2.171)	Data 0.001 (2.120)	Loss 0.3581 (0.7040)	MAE 0.466 (0.632)
Epoch: [0][56/68]	Time 1.147 (2.153)	Data 1.112 (2.102)	Loss 1.0005 (0.7092)	MAE 0.745 (0.634)
Epoch: [0][57/68]	Time 1.118 (2.135)	Data 1.088 (2.085)	Loss 0.4912 (0.7055)	MAE 0.529 (0.632)
Epoch: [0][58/68]	Time 0.041 (2.099)	Data 0.000 (2.050)	Loss 0.5613 (0.7030)	MAE 0.555 (0.631)
Epoch: [0][59/68]	Time 0.041 (2.065)	Data 0.001 (2.016)	Loss 0.3911 (0.6978)	MAE 0.496 (0.629)
Epoch: [0][60/68]	Time 10.714 (2.207)	Data 10.682 (2.158)	Loss 0.4950 (0.6945)	MAE 0.557 (0.628)
Epoch: [0][61/68]	Time 0.658 (2.182)	Data 0.626 (2.133)	Loss 0.7731 (0.6958)	MAE 0.666 (0.628)
Epoch: [0][62/68]	Time 0.038 (2.148)	Data 0.000 (2.099)	Loss 0.5575 (0.6936)	MAE 0.535 (0.627)
Epoch: [0][63/68]	Time 2.498 (2.153)	Data 2.470 (2.105)	Loss 0.6100 (0.6923)	MAE 0.559 (0.626)
Epoch: [0][64/68]	Time 0.035 (2.121)	Data 0.000 (2.072)	Loss 0.6941 (0.6923)	MAE 0.599 (0.625)
Epoch: [0][65/68]	Time 0.035 (2.089)	Data 0.000 (2.041)	Loss 0.5527 (0.6902)	MAE 0.550 (0.624)
Epoch: [0][66/68]	Time 0.033 (2.058)	Data 0.000 (2.011)	Loss 0.7153 (0.6906)	MAE 0.686 (0.625)
