Epoch,Train Loss,Validation Loss,Train MAE,Validation MAE
0,0.6908,0.5856,0.625,0.616
1,0.5077,0.5556,0.536,0.562
2,0.471,0.5312,0.516,0.565
3,0.4534,0.619,0.507,0.613
4,0.4062,0.6322,0.48,0.56
5,0.4277,0.4828,0.49,0.507
6,0.3687,0.418,0.455,0.478
7,0.3631,0.3093,0.452,0.419
8,0.3406,0.3633,0.436,0.439
9,0.3457,0.3439,0.442,0.434
10,0.3192,0.3663,0.42,0.477
11,0.311,0.4504,0.418,0.506
12,0.2977,0.2993,0.405,0.418
13,0.2946,0.2861,0.403,0.408
14,0.2891,0.3406,0.401,0.454
15,0.2861,0.3373,0.4,0.419
16,0.2792,0.2829,0.389,0.395
17,0.258,0.5346,0.377,0.584
18,0.2697,0.337,0.387,0.45
19,0.2571,0.264,0.378,0.379
20,0.249,0.2929,0.368,0.424
21,0.2505,0.3042,0.37,0.416
22,0.2304,0.351,0.353,0.453
23,0.2342,0.2285,0.359,0.348
24,0.226,0.2671,0.352,0.387
25,0.2228,0.273,0.348,0.384
26,0.2051,0.2217,0.333,0.345
27,0.2082,0.2799,0.338,0.387
28,0.201,0.388,0.331,0.488
29,0.193,0.2799,0.325,0.398
30,0.1983,0.3027,0.329,0.422
31,0.2054,0.3918,0.333,0.479
32,0.1999,0.2164,0.327,0.339
33,0.1931,0.2027,0.324,0.323
34,0.1803,0.4492,0.311,0.528
35,0.1751,0.2332,0.309,0.358
36,0.1793,0.2287,0.312,0.349
37,0.1693,0.2693,0.305,0.393
38,0.175,0.2374,0.309,0.371
39,0.1691,0.346,0.304,0.45
40,0.1592,0.2402,0.292,0.37
41,0.1529,0.2744,0.288,0.395
42,0.1505,0.2333,0.286,0.358
43,0.1661,0.2666,0.3,0.399
44,0.1638,0.2441,0.3,0.353
45,0.1512,0.3001,0.286,0.393
46,0.1504,0.2095,0.287,0.33
47,0.1393,0.2852,0.276,0.383
48,0.1401,0.1915,0.278,0.319
49,0.1404,0.2028,0.278,0.327
50,0.1368,0.2178,0.274,0.357
51,0.1503,0.4616,0.29,0.526
52,0.1488,0.2135,0.288,0.342
53,0.1346,0.2036,0.274,0.324
54,0.1379,0.2111,0.277,0.332
55,0.1286,0.2884,0.267,0.398
56,0.1347,0.2616,0.276,0.372
57,0.1336,0.3391,0.273,0.444
58,0.1295,0.1996,0.267,0.322
59,0.1253,0.2014,0.265,0.329
60,0.128,0.2519,0.27,0.382
61,0.1147,0.2098,0.254,0.343
62,0.1209,0.2139,0.261,0.336
63,0.1228,0.1913,0.263,0.316
64,0.1164,0.21,0.257,0.331
65,0.1138,0.2127,0.255,0.332
66,0.1127,0.1746,0.252,0.299
67,0.1135,0.2085,0.254,0.326
68,0.1109,0.2482,0.253,0.369
69,0.1179,0.2076,0.261,0.324
70,0.111,0.2067,0.251,0.338
71,0.1023,0.2293,0.242,0.363
72,0.1023,0.2058,0.243,0.324
73,0.1024,0.2084,0.245,0.324
74,0.0996,0.2246,0.24,0.346
75,0.1011,0.2512,0.24,0.365
76,0.0977,0.2234,0.236,0.342
77,0.0974,0.2012,0.238,0.32
78,0.0912,0.2155,0.229,0.336
79,0.1033,0.3722,0.243,0.49
80,0.0984,0.173,0.239,0.296
81,0.0888,0.2316,0.226,0.341
82,0.0908,0.1949,0.229,0.329
83,0.0882,0.2082,0.226,0.324
84,0.0929,0.1893,0.232,0.309
85,0.0852,0.2314,0.222,0.349
86,0.0859,0.203,0.222,0.318
87,0.0784,0.1947,0.215,0.331
88,0.0801,0.2313,0.215,0.336
89,0.0868,0.2137,0.226,0.34
90,0.0842,0.2269,0.221,0.345
91,0.081,0.2184,0.217,0.341
92,0.0822,0.1951,0.218,0.315
93,0.0785,0.2075,0.215,0.326
94,0.0766,0.2251,0.21,0.345
95,0.0687,0.1968,0.199,0.329
96,0.0815,0.1815,0.22,0.304
97,0.0745,0.2492,0.209,0.364
98,0.0767,0.1954,0.212,0.315
99,0.0754,0.1835,0.209,0.302
100,0.0583,0.1629,0.183,0.278
101,0.0492,0.1636,0.168,0.279
102,0.0457,0.1628,0.164,0.278
103,0.0486,0.1624,0.168,0.278
104,0.0483,0.1627,0.168,0.278
105,0.0461,0.1655,0.163,0.282
106,0.0479,0.1648,0.167,0.28
107,0.0469,0.1638,0.165,0.282
108,0.0448,0.1652,0.162,0.281
109,0.0431,0.1654,0.158,0.281
110,0.047,0.1712,0.167,0.289
111,0.0429,0.1635,0.158,0.281
112,0.0437,0.1716,0.159,0.293
113,0.0453,0.1669,0.163,0.282
114,0.0435,0.1687,0.159,0.283
115,0.0475,0.1668,0.166,0.282
116,0.0415,0.1675,0.156,0.284
117,0.0419,0.1699,0.157,0.287
118,0.0442,0.1677,0.16,0.283
119,0.0414,0.1667,0.155,0.28
120,0.0426,0.1683,0.157,0.282
121,0.041,0.1656,0.156,0.28
122,0.0435,0.1688,0.159,0.284
123,0.0429,0.1706,0.159,0.288
124,0.0427,0.1691,0.158,0.286
125,0.0373,0.1679,0.147,0.284
126,0.0393,0.169,0.152,0.283
127,0.0399,0.1647,0.153,0.281
128,0.0399,0.1683,0.153,0.284
129,0.0434,0.1694,0.159,0.286
130,0.0411,0.1671,0.155,0.28
131,0.0404,0.1682,0.154,0.282
132,0.0395,0.1673,0.152,0.282
133,0.0366,0.1668,0.146,0.281
134,0.0392,0.1749,0.151,0.292
135,0.0405,0.1687,0.153,0.282
136,0.0387,0.1734,0.15,0.292
137,0.0393,0.1706,0.152,0.283
138,0.0387,0.1681,0.15,0.284
139,0.0366,0.168,0.146,0.282
140,0.0386,0.1683,0.15,0.283
141,0.041,0.1722,0.155,0.284
142,0.0379,0.1671,0.149,0.281
143,0.0374,0.1659,0.148,0.279
144,0.039,0.1693,0.15,0.283
145,0.0375,0.1736,0.149,0.289
146,0.0375,0.1752,0.15,0.292
147,0.0387,0.173,0.15,0.29
148,0.0402,0.1695,0.154,0.283
149,0.0379,0.1689,0.148,0.282
150,0.0377,0.1716,0.149,0.284
151,0.0384,0.1737,0.151,0.287
152,0.0382,0.1693,0.149,0.282
153,0.0386,0.1713,0.151,0.284
154,0.0363,0.1702,0.146,0.286
155,0.0403,0.1736,0.154,0.289
156,0.0404,0.1721,0.155,0.283
157,0.0385,0.1743,0.151,0.286
158,0.0375,0.1683,0.148,0.283
159,0.0386,0.1748,0.151,0.289
160,0.0376,0.1719,0.149,0.288
161,0.0368,0.1695,0.148,0.283
162,0.0363,0.1711,0.146,0.283
163,0.036,0.1749,0.145,0.287
164,0.0354,0.1695,0.145,0.283
165,0.0371,0.1734,0.148,0.287
166,0.0357,0.1707,0.145,0.283
167,0.0356,0.1687,0.145,0.283
168,0.0348,0.1739,0.143,0.286
169,0.0363,0.17,0.146,0.283
170,0.0352,0.1721,0.143,0.285
171,0.04,0.1733,0.152,0.284
172,0.0361,0.1735,0.147,0.287
173,0.0351,0.1717,0.144,0.283
174,0.0395,0.1728,0.153,0.288
175,0.0364,0.1756,0.147,0.287
176,0.0366,0.1775,0.147,0.293
177,0.0378,0.1728,0.149,0.285
178,0.0392,0.1706,0.152,0.284
179,0.036,0.1745,0.147,0.286
180,0.0339,0.1723,0.142,0.286
181,0.04,0.1709,0.155,0.285
182,0.0341,0.1718,0.141,0.287
183,0.0334,0.1722,0.141,0.286
184,0.0347,0.1747,0.143,0.291
185,0.0337,0.1745,0.141,0.287
186,0.0373,0.1743,0.149,0.288
187,0.0332,0.173,0.14,0.286
188,0.0351,0.1754,0.144,0.288
189,0.0373,0.1764,0.147,0.29
190,0.0325,0.1754,0.138,0.288
191,0.0364,0.174,0.147,0.287
192,0.0381,0.1774,0.151,0.295
193,0.0361,0.174,0.147,0.287
194,0.0336,0.1753,0.141,0.288
195,0.0349,0.1739,0.144,0.286
196,0.0336,0.1752,0.14,0.289
197,0.0325,0.1736,0.139,0.287
198,0.0335,0.1749,0.141,0.292
199,0.036,0.1774,0.146,0.293
200,0.0319,0.1764,0.137,0.29
201,0.0323,0.1748,0.138,0.287
202,0.0349,0.1741,0.144,0.287
203,0.0336,0.177,0.141,0.292
204,0.0329,0.1763,0.139,0.289
205,0.0332,0.1724,0.14,0.285
206,0.0323,0.1714,0.138,0.285
207,0.0323,0.1734,0.138,0.287
208,0.0335,0.1787,0.141,0.292
209,0.0318,0.1779,0.137,0.293
210,0.0361,0.175,0.148,0.291
211,0.034,0.1771,0.143,0.288
212,0.0342,0.1775,0.141,0.289
213,0.0366,0.1743,0.149,0.286
214,0.0315,0.1733,0.137,0.286
215,0.0338,0.177,0.142,0.288
216,0.0319,0.1749,0.136,0.289
217,0.0322,0.1777,0.138,0.288
218,0.0323,0.1752,0.138,0.287
219,0.0347,0.1744,0.143,0.287
220,0.0353,0.1777,0.146,0.291
221,0.0318,0.1759,0.137,0.289
222,0.0298,0.1761,0.133,0.291
223,0.0331,0.1794,0.14,0.296
224,0.035,0.1792,0.145,0.292
225,0.0326,0.1768,0.139,0.291
226,0.031,0.1779,0.136,0.295
227,0.0313,0.1811,0.137,0.295
228,0.0321,0.1777,0.137,0.29
229,0.0329,0.1767,0.139,0.29
230,0.0334,0.1756,0.142,0.292
231,0.0313,0.1767,0.137,0.292
232,0.0289,0.1754,0.132,0.288
233,0.0292,0.1802,0.131,0.293
234,0.0287,0.1765,0.13,0.289
235,0.0327,0.1748,0.14,0.289
236,0.0358,0.1795,0.146,0.293
237,0.0328,0.1743,0.14,0.288
238,0.032,0.1735,0.138,0.287
239,0.0312,0.1773,0.137,0.29
240,0.0306,0.1806,0.135,0.294
241,0.0318,0.1799,0.138,0.292
242,0.032,0.1739,0.139,0.288
243,0.0323,0.1785,0.139,0.295
244,0.0311,0.176,0.137,0.29
245,0.0317,0.1768,0.137,0.291
246,0.0307,0.1779,0.136,0.291
247,0.0356,0.1763,0.146,0.29
248,0.0324,0.1756,0.141,0.29
249,0.031,0.1778,0.136,0.291
250,0.031,0.1775,0.137,0.292
251,0.0315,0.1754,0.137,0.29
252,0.0303,0.1792,0.135,0.294
253,0.0312,0.1796,0.137,0.297
254,0.0313,0.1778,0.138,0.291
255,0.0291,0.1804,0.132,0.292
256,0.0316,0.183,0.137,0.296
257,0.029,0.179,0.132,0.294
258,0.0323,0.1781,0.14,0.293
259,0.0334,0.1793,0.141,0.292
260,0.0309,0.18,0.136,0.293
261,0.0323,0.1751,0.138,0.288
262,0.0313,0.1802,0.137,0.294
263,0.0283,0.1789,0.13,0.291
264,0.0291,0.1764,0.133,0.29
265,0.0273,0.1763,0.128,0.29
266,0.0301,0.179,0.135,0.293
267,0.0315,0.1791,0.137,0.292
268,0.0307,0.1792,0.135,0.296
269,0.0321,0.1782,0.139,0.293
270,0.0295,0.1771,0.134,0.29
271,0.0287,0.1771,0.131,0.29
272,0.0313,0.1772,0.137,0.293
